TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4
37.95562686,97.925863,1.8962309,0,0,3,2,1,2000,0.366553219,2000,0.032512126,1009,0.833521927,1000,1.12219317,909,1.347025597,0.019180147,0.321572782,-4.51413517,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
38.1282582,69.83131749999998,0.055777914,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.833521927,2000,1.12219317,1016,0.01351131,-1.993906019,0.321572782,-4.51413517,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
57.833425526,91.16010725,19.505000563,0,0,2,3,1,2000,0.366553219,2000,0.032512126,1007,17.932214785,1002,1.483492687,910,15.819583741,0.30412018,10.414780108,-17.161314172,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
57.889911958,1717.9312288333335,0.040232566,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,17.932214785,2000,1.483492687,1014,0.020381133,-19.217133279,10.414780108,-17.161314172,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
60.325081322,1728.12314525,2.353098859,0,0,2,3,1,2000,0.366553219,2000,0.032512126,1008,0.701600353,996,0.65080942,918,1.953577058,0.067908994,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
60.479026885,1932.4280920833335,0.055386105,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1014,0.037136974,-2.383750368,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
60.566791497,1941.1392913333334,0.038616108,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.019429976,-2.488284759,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
60.734702503,1945.61966275,0.15276251,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1014,0.06805468,-2.542049216,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
60.78947627,1959.6448510833334,0.039232293,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1014,0.020813428,-2.710351476,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
60.92981498,1971.2123965833337,0.040762397,0,0,0,0,1,2000,0.366553219,2000,0.032512126,2000,0.701600353,2000,0.65080942,1015,0.021672775,-2.849162022,0.034641955,-26.188521289,0.352049462,,,,,,,,,,,,,,,,,,,,,,,,
