Time,inByte1_0,inByte1_1,inByte1_2,inByte1_3,inByte1_4,inByte2_0,inByte2_1,inByte2_2,inByte2_3,inByte2_4
24,1023,1023,1021,1023,1023,1016,1016,1016,1016,1016
24,1023,1023,1023,1023,1023,1016,1016,1016,1016,1016
14,1023,1023,1023,1023,1023,1021,1018,1021,1021,1021
14,1023,1023,1023,1023,1023,1016,1016,1017,1016,1016
24,1023,1023,1023,1023,1023,1016,1016,1017,1016,1016
24,1022,1023,1023,1023,1023,1016,1016,1017,1016,1016
24,1023,1023,1023,1023,1023,1016,1016,1017,1016,1016
24,1022,1023,1022,1023,1023,1016,1016,1017,1016,1016
14,1022,1023,1022,1023,1023,1021,1021,1018,1021,1021
14,1022,1023,1022,1023,1023,1022,1020,1020,1021,1021
14,1022,1023,1022,1023,1023,1020,1021,1020,1021,1021
14,1022,1023,1022,1023,1023,1015,1019,1019,1020,1018
24,1022,1023,1023,1023,1023,1015,1019,1019,1020,1018
14,1022,1023,1023,1023,1023,1016,1018,1022,1017,1021
24,1023,1023,1023,1023,1023,1016,1018,1022,1017,1021
24,1023,1023,1022,1023,1023,1016,1018,1022,1017,1021
14,1023,1023,1022,1023,1023,1015,1017,1021,1020,1021
14,1023,1023,1022,1023,1023,1017,1023,1019,1019,1017
14,1023,1023,1022,1023,1023,1017,1018,1020,1022,1020
24,1023,1023,1023,1023,1023,1017,1018,1020,1022,1020
24,1023,1023,1022,1023,1023,1017,1018,1020,1022,1020
24,1023,1023,1023,1023,1023,1017,1018,1020,1022,1020
24,1022,1023,1023,1023,1023,1017,1018,1020,1022,1020
14,1022,1023,1023,1023,1023,1017,1015,1019,1019,1020
14,1022,1023,1023,1023,1023,1017,1020,1021,1017,1021
24,1022,1023,1023,1023,1023,1017,1020,1021,1017,1021
14,1022,1023,1023,1023,1023,1017,1018,1021,1018,1021
14,1022,1023,1023,1023,1023,1020,1021,1021,1021,1021
14,1022,1023,1023,1023,1023,1017,1016,1022,1021,1018
24,1023,1023,1023,1023,1023,1017,1016,1022,1021,1018
24,1023,1021,1022,1023,1022,1017,1016,1022,1021,1018
14,1023,1021,1022,1023,1022,1017,1017,1018,1017,1021
24,1023,1021,1023,1023,1023,1017,1017,1018,1017,1021
14,1023,1021,1023,1023,1023,1019,1017,1016,1019,1022
24,1023,1022,1023,1023,1023,1019,1017,1016,1019,1022
14,1023,1022,1023,1023,1023,1019,1017,1020,1020,1018
24,1023,1021,1022,1023,1023,1019,1017,1020,1020,1018
24,1023,1023,1023,1023,1023,1019,1017,1020,1020,1018
24,1023,1023,1023,1023,1023,1019,1017,1020,1020,1018
14,1023,1023,1023,1023,1023,1019,1017,1016,1019,1021
14,1023,1023,1023,1023,1023,1019,1018,1016,1020,1021
14,1023,1023,1023,1023,1023,1019,1017,1017,1022,1018
24,1023,1023,1021,1023,1023,1019,1017,1017,1022,1018
24,1023,1023,1021,1022,1023,1019,1017,1017,1022,1018
