TimeLeft,StrideLeft(cm),ContactTimeLeft(s),Left0,Left1,Left2,Left3,Left4,LPeak1,LPTime1,LPeak2,LPTime2,LPeak3,LPTime3,LPeak4,LPTime4,LPeak5,LPTime5,TIL0_1,TIL1_2,TIL2_3,TIL3_4,,TimeRight,StrideRight,ContactTimeRight,Right0,Right1,Right2,Right3,Right4,RPeak1,RPTime1,RPeak2,RPTime2,RPeak3,RPTime3,RPeak4,RPTime4,RPeak5,RPTime5,TIR0_1,TIR1_2,TIR2_3,TIR3_4,
,,,,,,,,,,,,,,,,,,,,,,,29.22570125,105.3588247,0.268222999,5,2,4,3,1,957,0.066468035,907,0.100971562,907,0.050245998,917,0.082718375,919,0.050275308,0.016855646,3.35E-04,0.701198611,0.717043366,
29.54169941,122.1704743,0.217710523,4,2,5,3,1,973,0.135003974,911,0.099376421,959,0.067748481,927,0.06650365,989,1.33E-07,0.018293876,3.99E-04,0.681289977,7.26E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,29.87536397,105.732979,0.234175019,5,3,4,2,1,938,0.017226633,907,0.068606092,907,0.068268849,919,0.084332292,914,0.01578855,0.015643604,0.716229772,3.38E-04,0.75020942,
30.22599667,110.8566557,0.252238901,3,4,5,2,1,977,0.16838471,950,0.017567356,947,0.067845348,927,0.101423491,900,0.017460042,0.034404106,0.698695875,6.35E-04,1.26E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,30.55944707,116.8676103,0.235085472,5,3,4,2,1,951,0.051894498,910,0.08430884,911,0.084033098,917,0.117361258,915,0.036270719,0.016800079,0.717380795,2.76E-04,0.78323843,
30.89351824,116.6603623,0.219176637,4,3,5,2,1,977,0.100229968,937,0.099153573,953,0.099650736,934,0.11652416,969,1.03E-07,0.016577491,0.70012689,0.684658393,5.80E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,31.25781842,105.7585923,0.266199695,5,3,4,2,1,996,1.22E-07,915,0.099317522,917,0.098930673,918,0.115739681,912,0.049657637,0.049485687,0.716363749,3.87E-04,0.832056728,
31.57441974,121.8342917,0.21729946,2,5,3,4,1,976,0.101010425,914,0.034316243,948,0.031989426,927,9.80E-08,894,0.051784028,0.084184427,5.34E-04,1.43E-04,0.747858707,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,31.94226792,122.5713087,0.217433031,5,2,3,4,1,938,1.69E-07,910,0.082771885,908,0.082456704,917,0.066154234,911,0.015167316,0.033330395,3.16E-04,1.59E-04,0.800165513,
32.05847802,100.5049313,0.032128931,0,0,0,0,1,2000,0.101010425,2000,0.034316243,2000,0.031989426,2000,9.80E-08,995,9.90E-08,0.084184427,5.34E-04,1.43E-04,0.747858707,,,,,,,,,,,,,,,,,,,,,,,,
32.30932164,116.208322,0.235862236,2,3,4,1,0,975,0.085359791,915,0.084863049,951,0.049513655,921,0.066942788,2000,9.90E-08,0.033495042,4.97E-04,2.17E-04,0.747858707,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,32.62479839,100.6344037,0.249435197,5,2,3,4,1,950,0.016382015,906,0.084898462,905,0.084612569,917,0.064365214,915,0.033740435,0.049965401,2.86E-04,1.27E-04,0.767199641,
32.96020209,116.5879433,0.235075757,3,4,5,2,1,975,0.134046112,922,0.067481402,946,0.067381665,927,0.099324188,972,9.90E-08,0.01566181,0.684924917,4.59E-04,1.00E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,33.30787928,117.1721137,0.231235914,5,2,4,3,1,943,0.014887643,910,0.101038712,912,0.08599171,916,0.100723548,936,0.033345861,0.032442173,3.16E-04,0.698517929,0.784248017,
33.64286085,110.1150863,0.235872974,3,4,5,2,1,972,0.085964559,924,0.085404063,948,0.08528249,926,0.084324776,942,3.45E-07,0.033946758,0.732887289,5.61E-04,1.22E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,33.99217012,116.7700557,0.234871452,5,2,3,4,1,939,2.02E-07,912,0.083511975,911,0.083227061,920,0.031783784,912,1.84E-07,0.067502794,2.85E-04,2.96E-04,0.800119123,
34.3436764,123.0296227,0.217289491,3,1,4,2,0,972,0.066043262,929,0.131325461,949,0.065403437,932,0.097033849,2000,3.45E-07,5.72E-04,0.717013323,6.40E-04,1.22E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,34.674993,105.2066903,0.232985198,5,2,4,3,1,936,1.08E-07,913,0.099804116,913,0.082898524,920,0.099518373,915,0.016947239,0.032918543,2.87E-04,0.666745418,0.765290136,
35.04147077,110.663663,0.267472847,4,5,3,2,1,971,0.083984723,957,8.30E-08,957,0.085816881,921,0.10218597,978,0.017348344,0.033497313,0.696905496,0.715832576,0.083985191,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,35.39219575,122.430691,0.250905015,5,1,4,2,3,940,0.064685358,917,0.100522814,917,0.050543743,917,0.10000706,921,0.017689493,5.17E-04,1.18E-04,0.716057101,0.734600259,
35.70941173,110.8394917,0.235603254,5,2,3,4,1,988,0.082029809,937,0.032619985,954,0.099455701,929,0.099368811,941,0.019049058,0.033802426,1.93E-04,8.74E-05,0.651448872,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,36.04235654,105.9035687,0.250836758,5,2,4,3,1,949,0.036837214,906,0.098747665,906,0.083233448,917,0.081604945,911,0.032523645,0.050248918,3.17E-04,0.715357934,0.732298531,
36.3932769,111.7265447,0.266577763,4,2,5,3,1,975,0.084067803,913,0.099923109,945,0.066270056,923,0.0493478,915,0.064752572,0.081826972,3.10E-04,0.716576404,5.61E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,36.72460804,132.910836,0.199175781,5,2,4,3,1,967,0.068051666,904,0.084930108,906,0.065630421,914,0.06630215,924,1.04E-07,0.015475557,3.04E-04,0.718121679,0.717492511,
37.05896856,105.5455687,0.216900396,4,2,5,3,1,976,0.116710006,924,0.116265609,949,0.048097786,924,0.065313829,915,0.01517976,0.033070919,2.86E-04,0.700429409,4.86E-04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,37.44173043,105.0018277,0.284656182,5,2,3,4,1,963,0.067420647,910,0.067420403,909,0.067105779,915,0.066983341,911,0.069778921,0.084747611,3.15E-04,1.23E-04,0.696948948,
37.74264621,122.9724743,0.216655163,4,3,2,1,0,999,0.117638265,909,0.133764627,952,0.084516555,922,0.116023159,2000,0.01517976,0.031506113,0.700056031,0.715895493,4.86E-04,,,,,,,,,,,,,,,,,,,,,,,,
